Company,Company Type,Job Type,Job Title,Job Location,Python Importance,Python Exclusivity,Alternatives,Posting Indicates Use,How is Python Used?,How is Python Classified?,Working with Large Datasets,Data Extraction,Data Analysis,Modeling,Machine Learning,Automation,Data Visualization,Salary (Low),Salary (High),Bonus,Screenshot
Amazon,Other,Finance & Accounting,"Senior Finance Manager, AWS Industries",United States,Python Satisfies a Requirement,Listed Among Alternatives,"Tableau, SQB, Quicksight, Cognos or or other BI packages",0,N/A,N/A,,,,,,,,"$125,200 ","$207,000 ",1,https://drive.google.com/file/d/1EMVNLH05WCMOrOhGPdW5FjcZRZ6W1kVm/view?usp=drive_link
Amazon,Other,Finance & Accounting,"Principal Finance Manager, Advertising Creative, Trust and Support (ACTS)",United States,Python Satisfies a Requirement,Listed Among Alternatives,"Tableau, SQB, Quicksight, Cognos or or other BI packages",0,N/A,N/A,,,,,,,,"$125,200 ","$207,000 ",1,https://drive.google.com/file/d/11rY3xu_DQUnJm7gjlV-vMCswrB2gYqXD/view?usp=drive_link
Amazon,Other,Finance & Accounting,"Principal Finance Manager, Fuse and Mobile Business Development",United States,Python Satisfies a Requirement,Listed Among Alternatives,"Tableau, SQB, Quicksight, Cognos or or other BI packages",0,N/A,N/A,,,,,,,,"$125,200 ","$207,000 ",1,https://drive.google.com/file/d/1AFwnlvwltXcrQ0X_b05EtxUrLTIl0Aqg/view?usp=drive_link
Apollo Global Management,Private Equity Firms,Trading Support,Portfolio Transitions Associate,United States,Python Satisfies a Requirement,Listed Among Alternatives,"Bloomberg, Excel and SQL",0,N/A,Technology skills,,,,,,,,"$120,000 ","$140,000 ",1,https://drive.google.com/file/d/1cHswEQJV_k5kktMlT_Od_MW5F2sLwew0/view?usp=drive_link
Apollo Global Management,Private Equity Firms,Investment / Portfolio Management,Analyst- ISGI,India,Python Satisfies a Requirement,Listed Among Alternatives,"advanced excel & VBA, PowerPoint, SQL",1,"Data management/manipulation, data analysis, reporting, presentations, and database management",N/A,,,1,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1aI_Jhn9BMBqUPhGKP1BVDVDgLM2QQOCj/view?usp=drive_link
Apollo Global Management,Private Equity Firms,Investment / Portfolio Management,Junior Portfolio Manager - Fixed Income,United Kingdom,Python Satisfies a Requirement,Listed Among Alternatives,VBA,0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/19y23KNfRKXEVCc-OKcf3iKWO-PefjLXS/view?usp=drive_link
BlackRock,Investment Manager,Investment / Portfolio Management,"Financial Institutions Group (FIG) - Associate, Securitized Assets",United States,Python Satisfies a Requirement,Listed Among Alternatives,VBA/MATLAB,1,Handling large datasets,Programming Language,,,1,,,,,"$115,000 ","$147,500 ",1,https://drive.google.com/file/d/1EzenaC6in0SRsQZIm3RABDMj6WtESPW5/view?usp=drive_link
BlackRock,Investment Manager,Investment / Portfolio Management,"Vice President or Associate, Algo Engineer - Portfolio Management Architecture team, Indexed Fixed Income (IFI) business",United Kingdom,Python Satisfies a Requirement,Listed Among Alternatives,"VBA, R, MATLAB, Java, C++",0,N/A,Programming Languages,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1vwq29qO9LZgg0PYC_oDBDQVv32EAG96c/view?usp=drive_link
BlackRock,Investment Manager,Research,"Associate, Index Research",United Kingdom,Python Satisfies a Requirement,Listed Among Alternatives,SQL or any coding experience,0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1vY65UNbWjnbE8Mr4ufHmErc91m1dtpmt/view?usp=drive_link
BlackRock,Investment Manager,Research,"Associate, Data Analyst",Hong Kong,Python Satisfies a Requirement,Listed Among Alternatives, SQL,0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1yzqFaVPqELC3CNwt3mCKLV4Jtpu3SSQa/view?usp=drive_link
Blackstone,Private Equity Firms,Finance,"International Finance, Risk Management - AVP",Luxembourg,Python Satisfies a Requirement,Listed Among Alternatives,"VBA, SQL",0,N/A,IT languages ,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1X6-D7fatxAxTZs98IwbvzloqdZWT7xC7/view?usp=drive_link
Blackstone,Private Equity Firms,Investment / Portfolio Management,"Quant Algorithm Trader, Vice President",United States,Python Satisfies a Requirement,Listed Among Alternatives,C#,0,N/A,N/A,,,,,,,,"$200,000 ","$225,000 ",1,https://drive.google.com/file/d/17sW_jOk7oDWb7BfBfdF0jCYhpgqPKPJU/view?usp=drive_link
BMW Group,Other,Finance,"Intern, Financial Operations and Business Analytics",United States,Python Satisfies a Requirement,Listed Among Alternatives,SQL,1,"Data extraction, manipulation, and analysis",Programming language,,1,1,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1acmGEhfDtj6lsibUrYCamI6mDtPaRGE_/view?usp=drive_link
Citadel,Investment Manager,Investment / Portfolio Management,Commodities Analyst,"Japan, United States, United Kingdom, and Singapore",Python Satisfies a Requirement,Listed Among Alternatives,"VBA, Matlab",1,Financial modeling,N/A,,,1,1,,,, N/A , N/A ,0,https://drive.google.com/file/d/1ur7NFjHz4w1VtbQWjvhSxNBax_umaqxC/view?usp=drive_link
Fidelity,Investment Manager,Trading,Equity Trader II,United States,Python Satisfies a Requirement,Listed Among Alternatives,"1.) KDB/Q, R, SQL, and Tableau 2.) KDB/Q, Tableau, Snowflake, SQL AND Oracle 3.)KDB/Q, Snowflake",1,"1.) Developing models and performing quantitative analysis in support of the systematic trading effort using programming tools and large scale structured and unstructured data. 2.) Developing quantitative metrics, conducting advanced analysis, developing detail-oriented visualizations for analyzing and/or evaluating trading systems and processes, automating the data generation process, identifying and flagging data quality issues; undertaking ad hoc analyses of various subjects for internal or external reporting purposes. 3.) Performing full-stack systems analysis, design and development of complete analytical platforms — gathering requirements, documentation, performing data mining, functional design, required coding for data generation, developing the visualization — using large scale data hosted in Snowflake or Oracle by creating and managing data generation process.",Programming tools,,,1,1,,,, N/A , N/A ,1,https://drive.google.com/file/d/1U_gNOZ_RM-QwlI6wKgJ-5aYUl8h7UOEi/view?usp=drive_link
Fidelity,Investment Manager,Investment / Portfolio Management,AM Quantitative Analyst I,United States,Python Satisfies a Requirement,Listed Among Alternatives,"1.) R, and SQL 2.) R, and MATLAB 3.) R",1,"1.) Performing quantitative investment research and data analytics; 2.) Building robust research code and production code; 3.) Building quantitative models — regression, cross-sectional, and time series, using third party vendor data and dynamic parameters — to make recommendations for alpha generation and portfolio construction and to enhance investment decision-making; 4) [likely] curating large datasets.",Programming Language,,,1,1,,,, N/A , N/A ,1,https://drive.google.com/file/d/1XWTFJw4nF5lfppePnOxjxObhhRwXgiUV/view?usp=drive_link
Fidelity,Investment Manager,Risk Management,Risk Analyst,United States,Python Satisfies a Requirement,Listed Among Alternatives,"R, SQL",0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1EKAtdG1leYjStIrO7HSKzO0EnVu4KcZL/view?usp=drive_link
Fidelity,Investment Manager,Investment / Portfolio Management,AM Quantitative Analyst I,United States,Python Satisfies a Requirement,Listed Among Alternatives,1.)  R  2.) MATLAB or R,1,1.) Building machine learning models (Hidden Markov Models) for the detection and forecast of market environments and to provide insights into asset diversification and portfolio construction;  2.) Performing financial data analysis and ad-hoc modeling; performing relative value analysis using financial time series.,N/A,,,1,1,,,, N/A , N/A ,1,https://drive.google.com/file/d/1w7Cpks7Secm6LLaiBGwKOBZpGaEkHfT_/view?usp=drive_link
Fidelity,Investment Manager,Investment / Portfolio Management,"Portfolio Manager, Systematic High Yield",United States,Python Satisfies a Requirement,Listed Among Alternatives,"MATLAB, SQL, VBA (with emphasis on Python)",0,N/A,Programming Language,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1sF0tq0cmwhVPJ0ApVHmkQrsH9F4zZhqb/view?usp=drive_link
Fidelity,Investment Manager,Risk Management,"Manager, Quantitative Risk Analysis",United States,Python Satisfies a Requirement,Listed Among Alternatives,"R, MATLAB, SQL",1,N/A,Statistical software,,,1,,,,,"$71,000 ","$112,000 ",1,https://drive.google.com/file/d/1fj5T3gU9evimr3brFXqb522gCQWYCM20/view?usp=drive_link
Goldman Sachs,Bank,Investment / Portfolio Management,"Asset & Wealth Management, QIS Alternatives Analyst, ",United States,Python Satisfies a Requirement,Listed Among Alternatives,"Matlab, R, Perl, C++, Java or other languages",0,N/A,Programming language,,,,,,,,"$90,000 ","$125,000 ",1,https://drive.google.com/file/d/1blR4RvG_3nR21AEyr5GdmA-w5e9xclhJ/view?usp=drive_link
Goldman Sachs,Bank,Investment / Portfolio Management,"Asset & Wealth Management, Investment Strategy Group, Tactical Asset Allocation Team, Associate",United States,Python Satisfies a Requirement,Listed Among Alternatives,"Excel, Matlab, R, or related languages",1,Quantitative Analysis and Financial Modeling,Programming language,,,1,1,,,,"$85,000 ","$160,000 ",1,https://drive.google.com/file/d/1Y2CIgzqAryqbHxstGNlyauy2FoAWxYbc/view?usp=drive_link
Goldman Sachs,Bank,Investment / Portfolio Management,"Asset & Wealth Management, WIS, ETF Portfolio Manager, Vice President - New York",United States,Python Satisfies a Requirement,Listed Among Alternatives,VBA,0,N/A,Programming language,,,,,,,,"$125,000 ","$290,000 ",1,https://drive.google.com/file/d/1hx5-cDrpW-6C8gRo9Ysbyfr4GcaKfdxA/view?usp=drive_link
Google,Other,Finance & Accounting,Tax Technologist / Operations Analyst,United States,Python Satisfies a Requirement,Listed Among Alternatives,SQL or other automation coding languages,1,Automation,Automation coding languages,,,,,,1,,"$105,000 ","$154,000 ",1,https://drive.google.com/file/d/1L95uDxR1xyJS20f1wwjPBQYZeEqgXUBS/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Risk Management - Forecasting Model Review - Associate,United States,Python Satisfies a Requirement,Listed Among Alternatives,"R, or equivalent.",0,N/A,N/A,,,,,,,,"$135,000 ","$150,000 ",0,https://drive.google.com/file/d/1eZBOxQcOsnvcIB8OQbfiVQwwEQ8l1oxi/view?usp=drive_link
JPMorganChase,Bank,Other,Americas Equities - Margin Trading - Associate,United States,Python Satisfies a Requirement,Listed Among Alternatives,"VBA, SQL, Jupyter",1,Manipulation of large data sets in order to analyse trends and risk reporting,Programming Languages,1,,1,,,,,"$135,000 ","$200,000 ",0,https://drive.google.com/file/d/1yPZfHjKeEHUcEbizzuoGyHNl4wn9YPDc/view?usp=drive_link
JPMorganChase,Bank,Investment / Portfolio Management,"Asset-Liability Management/Interest Rate Risk, Senior Associate",United States,Python Satisfies a Requirement,Listed Among Alternatives,SQL,0,N/A,Programming Language,,,,,,,,"$142,500 ","$200,000 ",0,https://drive.google.com/file/d/1IwnmdDf6XX9oczrOF1aXrXVosk6g7hgZ/view?usp=drive_link
JPMorganChase,Bank,Trading,Corporate & Investment Bank - Oil Trader – Associate,Singapore,Python Satisfies a Requirement,Listed Among Alternatives,SQL and/or other programming languages,0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/12swvrjRikE4-mX9oPXOfi3EtmyeC9gCf/view?usp=drive_link
JPMorganChase,Bank,Trading,Corporate & Investment Bank - Oil Trader – Analyst,"Singapore
",Python Satisfies a Requirement,Listed Among Alternatives,SQL and/or other programming languages,0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1e82rX-sqG1Tfq3B2cOZtuXUSZClAqdAS/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Market Risk Coverage Lead,United States,Python Satisfies a Requirement,Listed Among Alternatives,SQL,0,N/A,N/A,,,,,,,,"$142,000 ","$215,000 ",0,https://drive.google.com/file/d/1iEwaTsy_L296_8eGJAXllil5LSSm0pDT/view?usp=drive_link
JPMorganChase,Bank,Research,Global Index Research Group – Executive Director,United Kingdom,Python Satisfies a Requirement,Listed Among Alternatives, R  (or similar),0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/17HKeIWZxbus7LxumySLeWlZN7CRfrVPw/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Risk Management - Modeling Analytics Card Loss Forecasting - Vice President,United States,Python Satisfies a Requirement,Listed Among Alternatives,"SAS, SQL, and Excel",0,N/A,N/A,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1-17iGlLqJPqm5-sje7-lvEzEBj68EJSn/view?usp=drive_link
JPMorganChase,Bank,Trading Support,Agency Securities Finance Operations - Trader Assistant - Associate,"Hong Kong
",Python Satisfies a Requirement,Listed Among Alternatives,"Microsoft Excel, Tableau, Alteryx, Xceptor",0,N/A,Digital tools,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/17KY0dwPWkcWm4jOX-sMiYOnTbtEGq-n3/view?usp=drive_link
Microsoft,Other,Finance,"Senior Finance Manager, Azure Analytics & Automation",United States,Python Satisfies a Requirement,Listed Among Alternatives,"R, SQL or others",0,N/A,Programming language,,,,,,,,"$94,600 ","$183,800 ",1,https://drive.google.com/file/d/17Tmuc2wYAUwtCceGJF-gX2aOuYEGpzwD/view?usp=drive_link
Royal Bank of Canada,Bank,Trading,"Vice President, QIS Trader",United Kingdom,Python Satisfies a Requirement,Listed Among Alternatives,"R, MATLAB",1,"Statistical modeling, machine learning, and data analysis",Programming Language,,,1,1,1,,, N/A , N/A ,1,https://drive.google.com/file/d/13xt5YVMlK28i4xUc3FEseRpDa9yowHyY/view?usp=drive_link
Toyota Motor,Other,Other,"Senior Analyst, Analytics",United States,Python Satisfies a Requirement,Listed Among Alternatives,"SQL, R",1,To acquire and organize data,N/A,,1,1,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1CpqRmUCVIZiY1zH3xr_gru0gTNbbEyqd/view?usp=sharing
Two Sigma,Investment Manager,Research,Systematic Macro Quantitative Researcher,United States,Python Satisfies a Requirement,Listed Among Alternatives,R,1,Analyzing large data sets,Modeling language,1,,1,1,,,,"$165,000 ","$325,000 ",1,https://drive.google.com/file/d/1svw8k9NH_T7Mp_4wn-163hXXoepo3OBY/view?usp=drive_link
Two Sigma,Investment Manager,Trading,Convertible Bond Trader,United States,Python Satisfies a Requirement,Listed Among Alternatives,Or another programming language,0,N/A,Programming language,,,,,,,,"$165,000 ","$325,000 ",1,https://drive.google.com/file/d/1TfzRhse3oB53eR5jOR31dZapYFzkEHpy/view?usp=drive_link
Vanguard,Investment Manager,Wealth Management,Head of Investment Data Research,United States,Python Satisfies a Requirement,Listed Among Alternatives,"R, SQL, and advanced data visualization platforms. ",0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1djHMhnuOlo74UCMGlHWHiXTsg3bxwK-A/view?usp=drive_link
VISA,Other,Finance & Accounting,"Senior Director, Finance - Analytics and Program Management",United States,Python Satisfies a Requirement,Listed Among Alternatives,"SQL, Tableau, Power BI, and other Microsoft Power Suite tools.",0,Data Management,N/A,,,,,,,,"$200,000 ","$312,100 ",1,N/A
Amazon,Other,Finance & Accounting,"Finance Manager, PXT Finance",United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,N/A,,,,,,,,"$85,900 ","$179,500 ",1,https://drive.google.com/file/d/1wsUWlIWJ4UDTq1adFw7Cq1wn-uFo7Ej3/view?usp=drive_link
AQR Capital Management,Investment Manager,Research,2025 Research Summer Analyst,United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,Programming Language,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1KCAhfLup6VT8E5g3Pff-JBtetsSbB9Z4/view?usp=drive_link
BlackRock,Investment Manager,Risk Management,"Associate, Sustainability Risk Management",United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,N/A,,,,,,,,"$115,000 ","$147,500 ",1,https://drive.google.com/file/d/19b65-j8xPwvUcRYhJL68avD-6o1WYR-A/view?usp=drive_link
BlackRock,Investment Manager,Investment / Portfolio Management,"Associate, Portfolio Management - Transitions",United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,Programming Language,,,,,,,,"$105,000 ","$137,500 ",1,https://drive.google.com/file/d/1VX5yTxkRyMlk58G__IbtDlKSW3ITDumS/view?usp=drive_link
BlackRock,Investment Manager,Investment / Portfolio Management,"Vice President, Portfolio Management - Transitions",United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,Programming Language,,,,,,,,"$137,500 ","$194,000 ",1,https://drive.google.com/file/d/1i1jE5OaNJuco-I68jOnX5n7rE_dKy_AH/view?usp=drive_link
BlackRock,Investment Manager,Investment / Portfolio Management,"Director, Infrastructure Debt Securitization",United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,N/A,,,,,,,,"$205,000 ","$260,000 ",1,https://drive.google.com/file/d/1nzqlIM8g7NuPm-lk_tEPlnMc18NYZBO6/view?usp=drive_link
Goldman Sachs,Bank,Risk Management,"Enterprise Risk, Strategic Risk and Stress Testing - Associate - NYC",United States,Python Satisfies a Preference,Exclusive,N/A,1,Workflow Automation,Programming language,,,,,,1,,"$110,000 ","$140,000 ",1,https://drive.google.com/file/d/1HYwqfRymk0q2BM4oY9mlJ9xrnSvXhNwX/view?usp=drive_link
Goldman Sachs,Bank,Risk Management,"Risk, Enterprise Risk - Vice President - Strategic Risk & Stress Testing - New York, NY",United States,Python Satisfies a Preference,Exclusive,N/A,1,Workflow Automation,Programming language,,,,,,1,,"$130,000 ","$260,000 ",1,https://drive.google.com/file/d/1ZuFRQOQvZD0UMp221n1kwAENSNMvpvlf/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Risk - Investment Risk & Analytics – Fiduciary and Suitability Risk Associate,United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1dZhGdClz_WGgd1IkCY0xMdfuhEXn2CV-/view?usp=drive_link
JPMorganChase,Bank,Risk Management,"Risk - Asset Wealth Management -Fiduciary and Suitability, Risk Executive Director",United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,Programming Language,,,,,,,,"$147,250 ","$260,000 ",0,https://drive.google.com/file/d/109c55WNssBwAbB_5sMDoC5KeeFwIdSij/view?usp=drive_link
JPMorganChase,Bank,Treasury,"Liquidity Management Strategy - Forecasting, Senior Associate",United States,Python Satisfies a Preference,Exclusive,N/A,0,N/A,Scripting language,,,,,,,,"$95,000 ","$135,000 ",0,https://drive.google.com/file/d/1JfvnxUwAVijS8qasozI6M_FRixc9aSco/view?usp=drive_link
Toronto Dominion,Bank,Risk Management,"Group Manager, Market Risk – Rates & Structured Products (1807)",Canada,Python Satisfies a Preference,Exclusive,N/A,0,N/A,Programming Language,,,,,,,,"$64,803 ","$97,204 ",1,https://drive.google.com/file/d/1NVsEQBMwDjZ21VL_i4m1fYTq5zagNk7H/view?usp=drive_link
Amazon,Other,Other,"Business Analyst, Corporate Development Finance- Minority Investment and Warrant Portfolio Management",United States,Python Satisfies a Preference,Listed Among Alternatives,Other programming languages,0,N/A,Programming language,,,,,,,,"$66,900 ","$143,100 ",1,https://drive.google.com/file/d/1R6FV_OlbpA7sabuWPmCihzTm-ECW9ws5/view?usp=sharing
Amazon,Other,Finance & Accounting,"Tax Manager, International Indirect Tax",United States,Python Satisfies a Preference,Listed Among Alternatives,"VBA, SQL, or other database language",0,N/A,Database language,,,,,,,,"$80,900 ","$172,900 ",1,https://drive.google.com/file/d/1rodQhf0zZRNjPiCzH3vc9PXLWt848k8V/view?usp=drive_link
Amazon,Other,Finance & Accounting,"US International Tax Analyst, U.S. International Reporting and Compliance",United States,Python Satisfies a Preference,Listed Among Alternatives,"SQL, Alteryx, Amazon QuickSight, or similar",0,N/A,Data-focused technology tool,,,,,,,,"$47,700 ","$102,000 ",1,https://drive.google.com/file/d/1TsReTfTfca4klcA6-UnR2U_BJGugbmgJ/view?usp=drive_link
Apple,Other,Finance,Financial Analyst,United States,Python Satisfies a Preference,Listed Among Alternatives,R,1,N/A,Data analytics tools and languages,,,1,,,,,"$107,300 ","$161,300 ",0,https://drive.google.com/file/d/18jzyFHj-dhYOqtOO51xE5G1hE-SAmU9e/view?usp=drive_link
AQR Capital Management,Investment Manager,Trading Support,Middle Office & Trade Support Analyst or Associate,United States,Python Satisfies a Preference,Listed Among Alternatives,SQL ,0,N/A,Programming language,,,,,,,,"$90,000 ","$105,000 ",1,https://drive.google.com/file/d/1j9gaaxShinrKCfKo7Zxt0kl0a0c0UpuX/view?usp=drive_link
BlackRock,Investment Manager,Other,"Aladdin Client Business, Client Experience, Associate – Seoul, Korea",Korea,Python Satisfies a Preference,Listed Among Alternatives," SQL, UNIX, VBA, R, or similar tools",0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1ykHABWMyJ3SLZHagKoWi1CkogEjBUFdY/view?usp=drive_link
BlackRock,Investment Manager,Other,"Vice President, ETF Capital Markets",Taiwan,Python Satisfies a Preference,Listed Among Alternatives,"SQL, VBA or any coding experience",0,N/A,N/A,,,,,,,," N/A	 ", N/A ,1,https://drive.google.com/file/d/1VJbQh3Ght70XusuPKg2PlGnfQgpuqz2c/view?usp=drive_link
BlackRock,Investment Manager,Investment / Portfolio Management,CorePM Portfolio Manager (Systematic Active Equity) | Associate / Vice President,United States,Python Satisfies a Preference,Listed Among Alternatives,MATLAB or other languages or tools,0,N/A,Programming Languages,,,,,,,,"$125,000 ","$209,000 ",1,https://drive.google.com/file/d/12DKWKbOdw6fuVH6Uu6sgtRstM4vVSZ2R/view?usp=drive_link
BlackRock,Investment Manager,Research,"Portfolio Solutions Specialist, Associate",Hungary,Python Satisfies a Preference,Listed Among Alternatives,"Aladdin, Morningstar, Bloomberg, Tableau, VBA, SQL, ",1,Quantitative analysis and solving complex problems to provide innovative insights,N/A,,,1,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1mWPbexP6btT2Hwxq9R-D0orCTlfmEJ8W/view?usp=drive_link
Capital One Financial,Other,Finance,"Manager, Capital Markets and Risk - Automation and Data team",United States,Python Satisfies a Preference,Listed Among Alternatives,"1.)  SQL and tools such as Tableau, Excel, and Databricks 2.) SQL",1,Perform data and variance analysis ,N/A,,,1,,,,, N/A , N/A ,0,https://drive.google.com/file/d/17Y45zvN-Vk3qIeO20_B3Vdm5LqyMcUZP/view?usp=drive_link
Capital One Financial,Other,Finance,"Principal Analyst, Capital Markets and Risk - Model Architecture",United States,Python Satisfies a Preference,Listed Among Alternatives,"Tableau, OR Amazon Web Services (AWS), OR a combination",1,Maintain and enhance liquidity models,N/A,,,1,1,,,, N/A , N/A ,0,https://drive.google.com/file/d/1vqvWDMr_2YiVjccm4P8w97KletueYA7O/view?usp=drive_link
Capital One Financial,Other,Finance,"Principal Analyst, Capital Markets and Risk - Liquidity Coverage Ratio (LCR) & Net Stable Funding Ratio (NSFR)",United States,Python Satisfies a Preference,Listed Among Alternatives,"Tableau, Amazon Web Services (AWS), or a combination",0,N/A,N/A,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1HVfUJOBE5r9nfUpgamHXCGupT9ctywln/view?usp=drive_link
Citi,Bank,Finance,Financial Reporting Analyst,Hungary,Python Satisfies a Preference,Listed Among Alternatives,"VBA, Knime, SQL",0,N/A,N/A,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1gx2yKcuuNvzEs0xQgt6nq-m4Frap2P3r/view?usp=drive_link
Goldman Sachs,Bank,Risk Management,"Compliance, Financial Crime Compliance, Strategy, Associate,Warsaw",Poland,Python Satisfies a Preference,Listed Among Alternatives,"Alteryx, SQL, R, Tableau",0,N/A,Technical Sklls,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1QQVUj_4Amf8qmsmbP15TmqosDc9zF1FK/view?usp=drive_link
